trigram,count
alm count almeyda,143
ar count arandez,50
count almeyda i,18
' t is,17
sir car carlos,15
pac pacomo yes,15
car carlos you,13
car carlos but,12
pacomo yes sir,11
pac pacomo aside,11
car carlos what,10
count almeyda aside,9
car carlos and,8
car carlos o,8
signor car carlos,8
count almeyda well,8
pacomo pac pacomo,7
count almeyda and,7
almeyda and arandez,7
bea beatrice o,7
pac pacomo i,6
you car carlos,6
car carlos i,6
pac pacomo o,6
gus gusman the,6
i tell you,6
count arandez the,6
count arandez and,6
count almeyda to,6
bea beatrice you,6
eug eugenia what,6
eug eugenia to,6
eug eugenia i,6
beatrice bea beatrice,6
to one of,5
car carlos a,5
gus gusman i,5
i think i,5
count almeyda you,5
yes sir car,5
