left,keyword,right
dramatis person philadelphia count almeyda mr robertson count arandez warren,carlos,wood pacomo jefferson gusman abercrombie pedrillo durang herald jackson eugenia
hours main text act i scene i a thick wood,carlos,carlos entering come along pacomo pacomo pacomo without here i
main text act i scene i a thick wood carlos,carlos,entering come along pacomo pacomo pacomo without here i come
the wing looking ruefully around no outlet yet sir car,carlos,none pac pacomo resting his portmanteau against a tree and
we might as well make up our minds to starve,carlos,this is a pleasant adventure pac pacomo you think so
is a pleasant adventure pac pacomo you think so car,carlos,comical and incomprehensible pac pacomo very rising and coming forward
all valets who follow lords that run after ladies car,carlos,and how will you explain our last adventure sirrah pac
your mysterious nymph had promised you should find her car,carlos,but where i arrived only to be again disappointed pac
our souls and the edification of the innocent rustics car,carlos,o poor knave methinks i still behold thee preparing for
of straw or indeed most of all like a car,carlos,o the devil take thy similitudes pac pacomo with all
the troopers and there sit my master and i car,carlos,and a most ludicrous figure we cut pac pacomo remarkably
ear to ear by those compassionate gentlemen the banditti car,carlos,thou art a monstrous coward pacomo pac pacomo i believe
then i have my cold fits like my betters car,carlos,but sirrah what cause for fear can you have now
sir grasp at a woman and hold a nettle car,carlos,peace sirrah dare not with profane tongue utter aught against
but yet all they make but a bitter pill car,carlos,o woman object of all my wishes pac pacomo cause
my wishes pac pacomo cause of all my scratches car,carlos,thy bright eyes may indeed wound pac pacomo and so
pac pacomo and so indeed may thy long nails car,carlos,but how sweet the cure of thy balmy lips pac
thy balmy lips pac pacomo or thy snagged teeth car,carlos,o woman to thee i owe all my joys pac
and i all my cudgellings are you done sir car,carlos,in that case what has your wisdom to offer pac
you home to be married to one of them car,carlos,you forget that he would n't condescend even to name
